sim_time,world_x,world_y,world_yaw,state
17.186,-2.4948973649207735,-2.2946305787629474e-05,-2.0375034339353864,startup_and_global_localization
17.286,-2.4947774300422187,-5.1682279286183174e-05,-1.9826981304645903,startup_and_global_localization
17.388,-2.494658529862793,-9.105344860926199e-05,-1.926672259528716,startup_and_global_localization
17.49,-2.4945432690383846,-0.0001332836109259321,-1.8705386971258142,startup_and_global_localization
17.59,-2.4944299960009597,-0.00017233667538420907,-1.8154201672668246,startup_and_global_localization
17.69,-2.494315468969781,-0.0002059501969104621,-1.760234113830088,startup_and_global_localization
17.792,-2.4941994450935643,-0.00023860015154210753,-1.703891484354015,startup_and_global_localization
17.894,-2.494079306022271,-0.0002585544155139781,-1.6475116685437072,startup_and_global_localization
17.994,-2.4939635545231336,-0.00028243349217462697,-1.5922164872080775,startup_and_global_localization
18.094,-2.4938443943037116,-0.0002982522366740239,-1.536915375616647,startup_and_global_localization
18.196,-2.4937212145045144,-0.0002949916765690426,-1.480529552410122,startup_and_global_localization
18.298,-2.4935976610578257,-0.0002411355102189433,-1.424157156815054,startup_and_global_localization
18.398,-2.493477963547871,-0.00021257429581781327,-1.3689281793855723,startup_and_global_localization
18.498,-2.4933543246216154,-0.00018623829677071342,-1.3137500972056892,startup_and_global_localization
18.6,-2.493225706352764,-0.00015892234031525607,-1.257543770928404,startup_and_global_localization
18.702,-2.4930960618273192,-0.00011197895819814277,-1.2014239195098106,startup_and_global_localization
18.804,-2.492970011026823,-3.810259585531509e-05,-1.1454132220388897,startup_and_global_localization
18.904,-2.4928504101956683,4.425038457618715e-05,-1.0906339095054522,startup_and_global_localization
19.004,-2.4927294361767767,0.0001203618658962205,-1.0360049348131937,startup_and_global_localization
19.106,-2.4926021908353064,0.0002034688447880478,-0.9804644009955796,startup_and_global_localization
19.208,-2.4924745881484287,0.0002971660907848194,-0.9251373969261871,startup_and_global_localization
19.308,-2.4923510808940597,0.0004027298056211656,-0.8711362524388744,startup_and_global_localization
19.408,-2.4922194010462824,0.0005085179436943104,-0.8174125053024074,startup_and_global_localization
19.51,-2.492081748287295,0.0006420730528378646,-0.7629003058819426,startup_and_global_localization
19.612,-2.491937654475739,0.0007987367144438894,-0.7082170169060154,startup_and_global_localization
19.712,-2.4917361107607405,0.0009077205242557211,-0.6543166428436076,startup_and_global_localization
19.812,-2.4915796887452015,0.0010171120863698686,-0.6001335668178317,startup_and_global_localization
19.914,-2.491443817008203,0.0011007987311881522,-0.5446471314597982,startup_and_global_localization
20.016,-2.4913299049685773,0.0012391682319620907,-0.4889785790137846,startup_and_global_localization
20.116,-2.4912416841692275,0.001371117729261751,-0.4342354766912541,startup_and_global_localization
20.216,-2.491181976033729,0.0015215320791461897,-0.37935957195969877,startup_and_global_localization
20.318,-2.491150513918213,0.0016911055180134737,-0.3232710865085297,startup_and_global_localization
20.42,-2.4911154730641702,0.0018311367497857677,-0.2670862646672006,startup_and_global_localization
20.522,-2.491087133343111,0.001977183380012477,-0.21082415341957478,startup_and_global_localization
20.622,-2.491072693649043,0.0021247336402634015,-0.1556071372427332,startup_and_global_localization
20.722,-2.4910544808269584,0.0022601953297329436,-0.10034817296015677,startup_and_global_localization
20.824,-2.49107016997242,0.0024212019124600853,-0.04395664501882963,startup_and_global_localization
20.926,-2.4911001855779564,0.002584522226560457,0.012446879080360825,startup_and_global_localization
21.026,-2.4911151217317498,0.0027258586724785545,0.06774134936113219,startup_and_global_localization
21.126,-2.491144712773549,0.0028753479588162654,0.12301713744250434,startup_and_global_localization
21.228,-2.4911810797641563,0.0030253966451738753,0.17936595282620693,startup_and_global_localization
21.33,-2.4912498837826536,0.003173109215201527,0.23564781787441638,startup_and_global_localization
21.43,-2.491338233978046,0.0033129194417559262,0.2907823190427224,startup_and_global_localization
21.53,-2.4914091701471985,0.003450506513488042,0.34583658560557395,startup_and_global_localization
21.632,-2.4914772130642637,0.0035949006290332533,0.4018906190825202,startup_and_global_localization
21.734,-2.491557632610721,0.003744521435554956,0.4578221179645827,startup_and_global_localization
21.836,-2.491655217451283,0.0038977331519765485,0.5136086076978992,startup_and_global_localization
21.936,-2.491733507641164,0.004056744270453251,0.5681353779683065,startup_and_global_localization
22.036,-2.4918124421749126,0.004222935180175639,0.6224661623761214,startup_and_global_localization
22.138,-2.491914011774672,0.004396465088706179,0.677652614060763,startup_and_global_localization
22.24,-2.4920404234174116,0.004570700767926503,0.7325677833291864,startup_and_global_localization
22.34,-2.4921843651094724,0.0047410281127375125,0.786100032273408,startup_and_global_localization
22.44,-2.4923532318564523,0.004893616578637556,0.839592692991702,startup_and_global_localization
22.542,-2.4925305795139097,0.004949759701742614,0.89443456750193,startup_and_global_localization
22.644,-2.4927537240982907,0.004993472070548643,0.9496041812903255,startup_and_global_localization
22.744,-2.492948823349024,0.005123787631535573,1.0038890811497152,startup_and_global_localization
22.844,-2.4931211645787394,0.005231233155344295,1.05840401259672,startup_and_global_localization
22.946,-2.493290158340688,0.0053263066573420986,1.1141812176294044,startup_and_global_localization
23.048,-2.493465141719947,0.0054019849494677434,1.1701062940289018,startup_and_global_localization
23.148,-2.493638326603743,0.005463920315346746,1.224191704878507,startup_and_global_localization
23.248,-2.493642954580393,0.005488679364252354,1.225030301406944,startup_and_global_localization
23.35,-2.493639276081139,0.005498929192996629,1.22503030208833,startup_and_global_localization
23.452,-2.4936399386871164,0.005497112901237463,1.2250303029758924,startup_and_global_localization
23.554,-2.4936409690053947,0.0054942666693136065,1.225030304150479,startup_and_global_localization
23.654,-2.4936424526361827,0.005490156736694965,1.2250303054129812,startup_and_global_localization
23.754,-2.4936447416644314,0.005483807708682688,1.2250303065824044,startup_and_global_localization
23.856,-2.493646743379766,0.005478254148449459,1.2250303076308424,startup_and_global_localization
23.958,-2.4936501522539634,0.005468793310978929,1.2250303079581502,startup_and_global_localization
24.058,-2.493650266207311,0.005468419759944757,1.2250303081626168,startup_and_global_localization
24.158,-2.4936511891370206,0.005465910723786723,1.2250303080519143,startup_and_global_localization
24.26,-2.4936540721613425,0.005457631845200646,1.2250303082866236,startup_and_global_localization
24.362,-2.4936618026001662,0.005436383182937604,1.225030308097076,startup_and_global_localization
24.462,-2.4936685893672443,0.005417508993977335,1.2250303078528126,startup_and_global_localization
24.562,-2.4936718538776685,0.005408547158402844,1.2250303075034885,startup_and_global_localization
24.664,-2.4936738253615878,0.005403010292249489,1.2250303070823745,startup_and_global_localization
24.766,-2.493673970891442,0.005402321551274991,1.2250303066507227,startup_and_global_localization
24.866,-2.493673436505967,0.00540415315108426,1.2250303061449785,startup_and_global_localization
24.966,-2.4936731588125096,0.005404661950300235,1.2250303058549294,startup_and_global_localization
25.068,-2.4936698916608644,0.00541442468816719,1.2250303053743477,startup_and_global_localization
25.17,-2.4936672626332785,0.005421214157426446,1.2250303046940618,startup_and_global_localization
25.272,-2.493664732639322,0.005427872559361364,1.2250303040675976,startup_and_global_localization
25.372,-2.493660239756973,0.005440721114598196,1.2250303037722217,startup_and_global_localization
25.472,-2.493656984922864,0.0054497285392802065,1.2250303032895105,startup_and_global_localization
25.574,-2.4936558778381603,0.005452829145038499,1.2250303026048313,startup_and_global_localization
25.676,-2.493652256134813,0.005462992533686093,1.2250303020686624,startup_and_global_localization
25.776,-2.4936465661979588,0.005478646162460494,1.2250303013877997,startup_and_global_localization
25.876,-2.4936404118167173,0.005495877004437337,1.2250303007322971,startup_and_global_localization
25.978,-2.493632284221349,0.005518171944731158,1.2250303003779957,startup_and_global_localization
26.08,-2.4936268550950014,0.00553332217969707,1.2250302998447669,startup_and_global_localization
26.18,-2.4936188263162555,0.005555683107041185,1.2250302991551274,startup_and_global_localization
26.28,-2.49361306236483,0.005572500388156276,1.2250302988305921,startup_and_global_localization
26.382,-2.493603830912782,0.005597241546156764,1.225030298203125,startup_and_global_localization
26.484,-2.493594174018267,0.005624170299318345,1.2250302978945886,startup_and_global_localization
26.586,-2.4935847731156504,0.0056506238376361866,1.2250302975960312,startup_and_global_localization
26.686,-2.4935746872181754,0.005678980047872952,1.2250302972204674,startup_and_global_localization
26.786,-2.493564648962155,0.005706920769466045,1.2250302968078208,startup_and_global_localization
26.888,-2.4935538403238953,0.0057369654758663,1.225030296411656,startup_and_global_localization
26.99,-2.4935435778686794,0.005765402510761038,1.2250302960994133,startup_and_global_localization
27.09,-2.493532856491897,0.005795225659969853,1.2250302958786021,startup_and_global_localization
27.19,-2.493521829067601,0.0058263381099834775,1.225030295507794,startup_and_global_localization
